,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
33,33,Sweden,"367,120",,"7,993 ",+20,N/A,N/A,N/A,275,"36,246",789
34,34,Portugal,"366,952","+4,336","5,977 ",+75,"290,690","+3,662","70,285",484,"36,036",587
35,35,Saudi Arabia,"360,690",+174,"6,101 ",+10,"351,573",+208,"3,016",436,"10,287",174
36,36,Austria,"334,913","+2,085","5,127 ",+145,"297,424","+3,109","32,362",495,"37,088",568
37,37,Hungary,"295,977","+4,428","7,725 ",+187,"89,814","+2,860","198,438",564,"30,675",801
38,38,Serbia,"292,640","+4,910","2,580 ",+51,"31,536",,"258,524",349,"33,556",296
39,39,Jordan,"271,514","+1,708","3,518 ",+22,"236,550","+3,160","31,446",332,"26,489",343
40,40,Nepal,"252,474",+782,"1,765 ",+16,"241,392","+1,029","9,317",,"8,594",60
41,41,Ecuador,"204,249",,"13,932 ",,"177,951",,"12,366",352,"11,496",784
42,42,Georgia,"204,003","+2,635","2,002 ",+49,"171,526","+2,244","30,475",,"51,185",502
43,43,Panama,"203,295",,"3,481 ",,"168,238",,"31,576",183,"46,778",801
44,44,Azerbaijan,"195,422","+3,962","2,133 ",+45,"131,252","+4,188","62,037",,"19,194",209
45,45,UAE,"191,150","+1,284",630 ,+1,"167,306",+765,"23,214",,"19,220",63
